Id,CodigoMunicipio,Ano,Mes,Periodo,DataCredito,ICMS,FundExp,Comp,IPVA,Total
48,1508,2020,Novembro,09/11/2020 a 13/11/2020,17/11/2020,226995.94,8833.65,0.00,0.00,235829.59
49,1508,2020,Novembro,16/11/2020 a 20/11/2020,24/11/2020,613554.24,2985.91,2777.73,0.00,619317.88
50,1508,2020,Dezembro,23/11/2020 a 27/11/2020,01/12/2020,547394.55,0.00,0.00,0.00,547394.55
51,1508,2020,Dezembro,30/11/2020 a 04/12/2020,08/12/2020,330295.31,3094.27,69.86,0.00,333459.43
52,1508,2020,Dezembro,07/12/2020 a 11/12/2020,15/12/2020,221318.37,10160.16,0.00,0.00,231478.53
53,1508,2020,Dezembro,14/12/2020 a 18/12/2020,22/12/2020,284607.23,3486.35,3396.62,0.00,291490.20
54,1508,2020,Dezembro,21/12/2020 a 25/12/2020,29/12/2020,702915.60,0.00,89.58,0.00,703005.18
55,1508,2021,Janeiro,Resíduo do Ano Anterior,05/01/2021,251085.93,2038.97,0.00,0.00,253124.90
56,1508,2021,Janeiro,04/01/2021 a 08/01/2021,12/01/2021,290461.55,9096.42,0.00,0.00,299557.97
57,1508,2021,Janeiro,11/01/2021 a 15/01/2021,19/01/2021,195438.72,0.00,0.00,0.00,195438.72
58,1508,2021,Janeiro,18/01/2021 a 22/01/2021,26/01/2021,833689.78,2941.02,3797.27,0.00,840428.07
59,1508,2021,Fevereiro,25/01/2021 a 29/01/2021,02/02/2021,262802.64,1651.95,107.06,0.00,264561.64
60,1508,2021,Fevereiro,01/02/2021 a 05/02/2021,09/02/2021,338241.60,0.00,0.00,0.00,338241.60
61,1508,2021,Fevereiro,08/02/2021 a 12/02/2021,17/02/2021,199007.91,7448.68,0.00,0.00,206456.60
62,1508,2021,Fevereiro,17/02/2021 a 19/02/2021,23/02/2021,222320.86,2498.45,4318.98,0.00,229138.29
63,1508,2021,Março,22/02/2021 a 26/02/2021,02/03/2021,777353.90,1250.81,0.00,0.00,778604.71
64,1508,2021,Março,01/03/2021 a 05/03/2021,09/03/2021,318548.81,0.00,121.41,0.00,318670.22
65,1508,2021,Março,08/03/2021 a 12/03/2021,16/03/2021,191377.41,7405.51,0.00,0.00,198782.92
66,1508,2021,Março,15/03/2021 a 19/03/2021,19/03/2021,292815.86,3603.17,5530.88,0.00,301949.91
67,1508,2021,Março,22/03/2021 a 26/03/2021,30/03/2021,783169.07,0.00,158.27,0.00,783327.34
68,1508,2021,Abril,29/03/2021 a 02/04/2021,06/04/2021,151972.01,2288.03,0.00,0.00,154260.04
69,1508,2021,Abril,05/04/2021 a 09/04/2021,13/04/2021,322685.08,8509.02,0.00,0.00,331194.10
70,1508,2021,Abril,12/04/2021 a 16/04/2021,20/04/2021,302511.63,0.00,0.00,0.00,302511.63
71,1508,2021,Abril,19/04/2021 a 23/04/2021,27/04/2021,564222.84,3095.40,5157.95,0.00,572476.19
72,1508,2021,Maio,26/04/2021 a 30/04/2021,04/05/2021,268651.87,1731.56,190.38,0.00,270573.81
73,1508,2021,Maio,03/05/2021 a 07/05/2021,11/05/2021,366281.12,0.00,0.00,0.00,366281.12
74,1508,2021,Maio,10/05/2021 a 14/05/2021,18/05/2021,206295.71,8696.41,0.00,0.00,214992.12
75,1508,2021,Maio,17/05/2021 a 21/05/2021,25/05/2021,690306.95,1627.73,6326.66,0.00,698261.33
76,1508,2021,Junho,24/05/2021 a 28/05/2021,01/06/2021,303593.66,2565.85,227.48,0.00,306386.98
77,1508,2021,Junho,31/05/2021 a 04/06/2021,08/06/2021,152701.88,0.00,0.00,0.00,152701.88
78,1508,2021,Junho,07/06/2021 a 11/06/2021,15/06/2021,429901.19,7130.81,0.00,0.00,437032.00
79,1508,2021,Junho,14/06/2021 a 18/06/2021,22/06/2021,238692.68,2879.77,6198.60,0.00,247771.05
80,1508,2021,Junho,21/06/2021 a 25/06/2021,29/06/2021,622627.91,0.00,0.00,0.00,622627.91
81,1508,2021,Julho,28/06/2021 a 02/07/2021,06/07/2021,310473.67,1813.61,226.69,0.00,312513.97
82,1508,2021,Julho,05/07/2021 a 09/07/2021,13/07/2021,362386.46,9211.65,0.00,0.00,371598.12
83,1508,2021,Julho,12/07/2021 a 16/07/2021,20/07/2021,300049.29,0.00,6416.61,0.00,306465.89
84,1508,2021,Julho,19/07/2021 a 23/07/2021,27/07/2021,711782.97,2594.42,231.25,0.00,714608.63
85,1508,2021,Agosto,26/07/2021 a 30/07/2021,03/08/2021,307525.88,1850.87,0.00,0.00,309376.75
86,1508,2021,Agosto,02/08/2021 a 06/08/2021,10/08/2021,306235.03,0.00,0.00,0.00,306235.03
87,1508,2021,Agosto,09/08/2021 a 13/08/2021,17/08/2021,300998.87,6758.66,0.00,0.00,307757.53
88,1508,2021,Agosto,16/08/2021 a 20/08/2021,24/08/2021,292177.01,2258.44,6437.94,0.00,300873.38
89,1508,2021,Agosto,23/08/2021 a 27/08/2021,31/08/2021,836519.36,0.00,229.03,0.00,836748.39
90,1508,2021,Setembro,30/08/2021 a 03/09/2021,08/09/2021,166181.48,2467.23,0.00,0.00,168648.71
91,1508,2021,Setembro,06/09/2021 a 10/09/2021,14/09/2021,323696.68,8187.84,0.00,0.00,331884.52
