Id,Codigo,Nome,UF
213,3335,Guareí,SP
214,3347,Guariba,SP
216,3359,Guarujá,SP
217,3360,Guarulhos,SP
218,7262,Guatapará,SP
219,3372,Guzolândia,SP
220,3384,Herculândia,SP
221,7470,Holambra,SP
222,7481,Hortolândia,SP
223,3396,Iacanga,SP
224,3402,Iacri,SP
225,7274,Iaras,SP
226,3414,Ibaté,SP
227,3426,Ibira,SP
228,3438,Ibirarema,SP
229,3440,Ibitinga,SP
230,7285,IBITIUVA,SP
231,3451,Ibiúna,SP
232,3463,Icem,SP
233,3475,Iepê,SP
234,3487,Igaraçu do Tietê,SP
235,3499,Igarapava,SP
236,3505,Igaratá,SP
237,3517,Iguape,SP
238,7675,Ilha Comprida,SP
239,7493,Ilha Solteira,SP
240,3529,Ilhabela,SP
241,3530,Indaiatuba,SP
242,3542,Indiana,SP
243,3554,Indiaporã,SP
244,3566,Inúbia Paulista,SP
245,3578,Ipaussú,SP
246,3580,Iperó,SP
247,3591,Ipeúna,SP
248,7845,Ipiguá,SP
249,3608,Iporanga,SP
250,3610,Ipuá,SP
251,3621,Iracemápolis,SP
252,3633,Irapuã,SP
253,3645,Irapuru,SP
1002,3657,Itaberá,SP
1003,3669,Itaí,SP
1004,3670,Itajobi,SP
1005,3682,Itajú,SP
1006,3694,Itanhaém,SP
1007,7500,Itaóca,SP
1008,3700,Itapecerica da Serra,SP
1009,3712,Itapetininga,SP
1010,3724,Itapeva,SP
1011,3736,Itapevi,SP
1012,3748,Itapira,SP
1013,7687,Itapirapuã Paulista,SP
1014,3750,Itápolis,SP
1015,3761,Itaporanga,SP
1016,3773,Itapuí,SP
1017,3785,Itapura,SP
1018,3797,Itaquaquecetuba,SP
1019,3803,Itararé,SP
1020,3815,Itariri,SP
1021,3827,Itatiba,SP
1022,3839,Itatinga,SP
1023,3840,Itirapina,SP
1024,3852,Itirapuã,SP
1025,3864,Itobi,SP
1026,3876,Itu,SP
1027,3888,Itupeva,SP
1028,3890,Ituverava,SP
1029,3906,Jaborandi,SP
1030,3918,Jaboticabal,SP
1031,3920,Jacareí,SP
1032,3931,Jaci,SP
1033,3943,Jacupiranga,SP
1034,3955,Jaguariúna,SP
1035,3967,Jales,SP
1036,3979,Jambeiro,SP
1037,3980,Jandira,SP
1038,3992,Jardinópolis,SP
1039,4005,Jarinu,SP
1040,4017,Jaú,SP
1041,4029,Jeriquara,SP
1042,4030,Joanópolis,SP
1043,4042,João Ramalho,SP
1044,4054,José Bonifácio,SP
1045,4066,Júlio Mesquita,SP
1046,7882,Jumirim,SP
1047,4078,Jundiaí,SP
1048,4080,Junqueirópolis,SP
1049,4091,Juquiá,SP
1050,4108,Juquitiba,SP
1051,4110,Lagoinha,SP
1052,4121,Laranjal Paulista,SP
1053,4133,Lavínia,SP
1054,4145,Lavrinhas,SP
1055,4157,Leme,SP
1056,4169,Lençóis Paulista,SP
1057,4170,Limeira,SP
1058,4182,Lindóia,SP
1059,4194,Lins,SP
1060,4200,Lorena,SP
1061,7699,Lourdes,SP
1062,4212,Louveira,SP
1063,4224,Lucélia,SP
1064,4236,Lucianópolis,SP
1065,4248,Luiz Antônio,SP
1066,4250,Luiziania,SP
1067,4261,Lupércio,SP
1068,4273,Lutécia,SP
1069,4285,Macatuba,SP
1070,4297,Macaubal,SP
1071,4303,Macedônia,SP
1072,4315,Magda,SP
1073,4327,Mairinque,SP
1074,4339,Mairiporã,SP
1075,4340,Manduri,SP
1076,4352,Marabá Paulista,SP
1077,4364,Maraçaí,SP
1078,7511,Marapoama,SP
1079,4376,Mariápolis,SP
1080,4388,Marília,SP
1081,4390,Marinópolis,SP
1082,4406,Martinópolis,SP
1083,4418,Matão,SP
1084,4420,Mauá,SP
1085,4431,Mendonça,SP
1086,4443,Meridiano,SP
1087,7705,Mesópolis,SP
1088,4455,Miguelópolis,SP
1089,4467,Mineiros do Tietê,SP
1090,4479,Mira Estrela,SP
1091,4480,Miracatu,SP
1092,4492,Mirandópolis,SP
1093,4509,Mirante do Paranapanema,SP
1094,4510,Mirassol,SP
1095,4522,Mirassolândia,SP
1096,4534,Mocóca,SP
1097,4546,Mogi das Cruzes,SP
1098,4558,Mogi-Guaçu,SP
1099,4560,Mogi-Mirim,SP
1100,4571,Mombuca,SP
1101,4583,Monções,SP
1102,4595,Mongaguá,SP
1103,4601,Monte Alegre do Sul,SP
1104,4613,Monte Alto,SP
1105,4625,Monte Aprazível,SP
1106,4637,Monte Azul Paulista,SP
1107,4649,Monte Castelo,SP
1108,4650,Monte Mór,SP
1109,4662,Monteiro Lobato,SP
1110,4674,Morro Agudo,SP
1111,4686,Morungaba,SP
1112,7298,Motuca,SP
1113,4698,Murutinga do Sul,SP
1114,7894,Nantes,SP
1115,4704,Narandiba,SP
1116,4716,Natividade da Serra,SP
1117,4728,Nazaré Paulista,SP
1118,4730,Neves Paulista,SP
1119,4741,Nhandeara,SP
1120,4753,Nipoã,SP
1121,4765,Nova Aliança,SP
1122,7717,Nova Campina,SP
1123,7523,Nova Canaã Paulista,SP
1124,7900,Nova Castilho,SP
1125,4777,Nova Europa,SP
1126,4789,Nova Granada,SP
1127,4790,Nova Guataporanga,SP
1128,4807,Nova Independência,SP
1129,4819,Nova Luzitânia,SP
1132,4820,Nova Odessa,SP
1133,7535,Novais,SP
1134,4832,Novo Horizonte,SP
1135,4844,Nuporanga,SP
1136,4856,Ocauçu,SP
1137,4868,Óleo,SP
1138,4870,Olímpia,SP
